Ontology ID	Entity type	LABEL	Parent	alternative term	definition	definition source	term editor	term tracker item	ontology term requester	editor note	database_cross_reference
OPL:0000111	class	Schistosoma haematobium 7 week worm stage	7 week parasitic worm stage	S. haematobium 7 week worm stage	A 7 week worm stage of Schistosoma haematobium that is the mature stage of Schistosoma haematobium and found in the pelvic blood vessels of the vesicle plexis of the definitive host 7 weeks after weeks after infection .		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000112	class	Schistosoma mansoni miracidium stage	miracidium stage	S. mansoni miracidium stage	A miracidium stage in the Schistosoma mansoni lifecycle that occurs in the intermediate snail host.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000113	class	Plasmodium falciparum oocyst stage	oocyst stage	P. falciparum oocyst stage	"An oocyst stage in the Plasmodium falciparum lifecycle that occurs on the hemocoel side of the midgut of a mosquito vector. During this stage Plasmodium falciparum ookinete invades and escapes midgut wall of mosquito and embed itself onto the exterior of the gut membrane and develop encysted zygote, called oocyst."		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000114	class	amastigote stage	parasite lifecycle stage		A parasite lifecycle stage is a nonflagellate intracellular developmental stage in the trypanosomatid parasites lifecycle that occurs in mammalian host.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000115	class	Plasmodium falciparum sporozoite stage	sporozoite stage	P. falciparum sporozoite stage	A sporozoite stage in the Plasmodium falciparum lifecycle that occurs in the salivary glands of the mosquito and invades hepatocytes in the human host.		C. Janse|Chris Stoeckert|Jie Zheng|Matt Berrimen|Priti Parikh|S. Khan				
OPL:0000116	class	Trypanosoma cruzi metacyclic trypomastigote	Leishmania major promastigote	T. cruzi metacyclic trypomastigote	A Trypanosoma cruzi trypomastigote that is found in blood or cells of mammal hosts at the infectious stage for mammals.	http://dna.kdna.ucla.edu/parasite_course-old/cruzi_files/intro.htm	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000117	class	Homo sapiens blood	blood	human blood	Blood that is part of or originated from a human (Homo sapiens).	OPL	Chris Stoeckert			previous def was: blood of human	
OPL:0000118	class	Schistosoma japonicum schistosomulum stage	schistomulum stage	S. japonicum schistosomulum stage	A schistosomulum stage of Schistosoma japonicum that occurs in the definitive host and is followed by the parasitic worm stage.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000119	class	exflagellated microgametocyte stage	microgametocyte stage		A microgametocyte stage in some apicomplexan parasites where microgametocyte gets matured and form microgamete through the process known as exflagellation.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000120	class	Schistosoma mansoni 3 hour schistosomulum stage	3 hour schistosomulum stage	S. mansoni 3 hour schistosomulum stage	A 3 hours schistosomulum stage of Schistosoma mansoni that occurs in the definitive host 3 hours post-infection.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000121	class	Anopheles salivary gland	saliva-secreting gland		A salivary gland that is a part of or originated from an Anopheles mosquito.		Priti Parikh				
OPL:0000122	class	Homo sapiens macrophage	macrophage	human macrophage	A macrophage that is a part of or originated from a human (Homo sapiens).		Jie Zheng				FMA:63261
OPL:0000123	class	Schistosoma mansoni 3 day schistosomulum	Leishmania major promastigote	S. mansoni 3day schistosomulum	"A Schistosoma mansoni schistosomulum in a migratory larval formi that is found within blood vessels of the definitive host, mammal, 3 days post-infection."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000124	class	Schistosoma haematobium 6 day schistosomulum stage	6 day schistosomulum stage	S. haematobium 6 day schistosomulum stage	A 6 day schistosomulum stage of Schistosoma haematobium that occurs in the definitive host 6 days post-infection.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000125	class	Schistosoma haematobium egg stage	egg stage	S. haematobium egg stage	An egg stage in the lifecycle of Schistosoma haematobium that occurs in the mammalian host..		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000126	class	Schistosoma japonicum worm	Leishmania major promastigote	S. japonicum worm	"A Schistosoma japonicum is the mature form of Schistosoma japonicum and capable of sexual reproduction, which lives in the small superior mesenteric blood vessels associated with the ileo-caecal area of the intestine of the mammal host."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000127	class	adult female parasitic worm stage	adult parasitic worm stage		An adult worm stage of a female parasitic worm.	http://www.path.cam.ac.uk/~schisto/schistosoma/schisto_lifecycle_egg.html	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000128	class	Schistosoma mansoni worm	Leishmania major promastigote	S. mansoni worm	"A Schistosoma mansoni in the mature form that is capable of sexual reproduction, which lives in the small inferior mesenteric blood vessels surrounding the large intestine of the mammal host."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000129	class	Schistosoma haematobium 24 hour schistosomulum stage	24 hour schistosomulum stage	S. haematobium 24 hour schistosomulum stage	A 24 hours schistosomulum stage of Schistosoma haematobium that occurs in the definitive host 24 hours post-infection.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000130	class	Plasmodium falciparum merozoite	Leishmania major promastigote	P. falciparum merozoite	"A Plasmodium falciparum that is produced in a schizont, found in the bloodstream of a human host and invades erythrocytes."		Chris Stoeckert|Jie Zheng|Priti Parkh				
OPL:0000131	class	Trypanosoma cruzi metacyclic trypomastigote stage	metacyclic trypomastigote stage	T. cruzi metacyclic trypomastigote stage	A metacyclic trypomastigote stage in the lifecycle of Trypanosoma cruzi that occurs in a vertebrate host.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000132	class	Schistosoma japonicum 24 hour schistosomulum	Leishmania major promastigote	S. japonicum 24 hour schistosomulum	"A Schistosoma japonicum schistosomulum in a migratory larval form that is found within blood vessels of the mammal, as definitive host, 24 hours post-infection."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000133	class	Homo sapiens lung	lung	human lung	A lung that is a part of or originated from a human (Homo sapiens).		Priti Parikh				FMA:7195
OPL:0000134	class	Oncomelania hepatopancreas	hepatopancreas		Hepatopancreas that is a part of or originated from a Oncomelania snail.		Priti Parikh				
OPL:0000135	class	Schistosoma mansoni egg stage	egg stage	S. mansoni egg stage	An egg stage in the lifecycle of Schistosoma mansoni that occurs in the mammalian host.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000136	class	Schistosoma mansoni 7 week worm	Leishmania major promastigote	S. mansoni 7 week worm	"A Schistosoma mansoni worm is the mature form of Schistosoma mansoni and capable of sexual reproduction, which is found in the small inferior mesenteric blood vessels surrounding the large intestine of the mammal host 7 weeks after infection of the mammalian host."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000137	class	Plasmodium falciparum sporozoite	Leishmania major promastigote	P. falciparum sporozoite	A Plasmodium falciparum is formed in the oocyst. It migrates to and resides in the salivary glands of the mosquito vector. A distinction is made between oocyst-derived and salivary gland-derived sporozoites. Sporozoites invade hepatocytes in the vertebrate host.	Wikipedia: Plasmodium falciparum biology	C. Janse|Chris Stoeckert|Jie Zheng|Priti Parkh|S. Khan				
OPL:0000138	class	Plasmodium falciparum oocyst	Leishmania major promastigote	P. falciparum oocyst	"A Plasmodium falciparum that oocyst is formed, after traversal of the midgut wall by the ookinete stage, on the hemocoel side of the midgut wall of the mosquito vector."		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000139	class	Schistosoma japonicum 7 week worm stage	7 week parasitic worm stage	S. japonicum 7 week worm stage	A 7 week worm stage of Schistosoma japonicum that is the mature stage of Schistosoma japonicum and found in the small superior mesenteric blood vessels associated with the ileo-caecal area of the intestine of the definitive host 7 weeks after weeks after infection.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000140	class	erythrocytic ring trophozoite stage	erythrocytic trophozoite stage		An early trophozoite stage of Plasmodium sp. where a large central vacuole and peripheral nucleus give an appearance of a signet ring.	http://www.biology.ualberta.ca/parasites/parpub/text/text/glossarR.htm	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000141	class	Homo sapiens intestine	intestine	human intestine	An intestine that is a part of or originated from a human (Homo sapiens).		Priti Parikh				FMA:7199
OPL:0000142	class	Schistosoma mansoni mother sporocyst stage	mother sporocyst stage	S. mansoni mother sporocyst stage	A mother sporocyst stage in the Schistosoma mansoni lifecycle that occurs in the snail intermediate host.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000143	class	microgametocyte stage	gametocyte stage		A gametocyte stage where a cell differentiates into a male sexual form called microgametocyte.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000144	class	Schistosoma haematobium mother sporocyst	Leishmania major promastigote	S. haematobium mother sporocyst	A Schistosoma haematobium sporocyst that produces more sporocysts.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000145	class	Schistosoma japonicum mother sporocyst	Leishmania major promastigote	S. japonicum mother sporocyst	A Schistosoma japonicum sporocyst that produces more sporocysts.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000146	class	Plasmodium falciparum trophozoite	Leishmania major promastigote	P. falciparum trophozoite	"A Plasmodium falciparum is a feeding form. The trophozoite stage has only 1 nucleus. Depending on its location, it is either called hepatic or erythrocytic trophozoite."		C. Janse|Chris Stoeckert|Jie Zheng|Priti Parkh|S. Khan				
OPL:0000147	class	Schistosoma mansoni sporocyst	Leishmania major promastigote	S. mansoni sporocyst	"A Schistosoma mansoni is an elongated sac that develops from the miracidium within the snail indermediate host, and that either produces more sporocysts or develops into cercariae."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000148	class	7 week parasitic worm stage	parasitic worm stage		A parasitic worm stage of development 7 weeks post differentiation into a worm form.	PMID:19885392	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000149	class	metacyclic trypomastigote stage	trypomastigote stage		A trypomastigote stage of Trypanosoma species which are nondividing forms resistant to mammalian complement that have the capacity to infect mammalian cells.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000150	class	gametocyte stage	life cycle stage		A life cycle stage where a cell differentiates into male or female sexual forms.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000151	class	promastigote stage	parasite lifecycle stage		"A parasite lifecycle stage of Trypanosomatids. In this stage, the flagellum is found anterior of nucleus and flagellum not attached to the cell body. The kinetoplast is located in front of the nucleus, near the anterior end of the body. (Wikipedia: Trypanosomatid)"		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000152	class	sporozoite stage	parasite lifecycle stage		A parasite lifecycle stage of some sporozoans where cells divide through sporogony producing daughter cells called sporozoites that infect new hosts.	http://www.biology.ualberta.ca/parasites/parpub/text/text/glossarS.htm	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000153	class	ookinete stage	parasite lifecycle stage		"A parasite lifecycle stage of some sporozoans where motile and elongated zygote is formed by the fertilization of the macrogamete during the sexual reproductive phase of the sporozoan life cycle, specifically the malarial parasite Plasmodium."	"Mosby's Medical Dictionary, 8th edition. � 2009, Elsevier. (http://medical-dictionary.thefreedictionary.com/ookinete)"	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000154	class	Glossina salivary gland	saliva-secreting gland		A salivary gland that is a part of or originated from a tsetse fly of genus Glossina.		Priti Parikh				
OPL:0000156	class	Schistosoma japonicum lifecycle stage	parasite lifecycle stage	S. japonicum lifecycle stage	A lifecycle stage of Schistosoma japonicum.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000157	class	Leishmania major amastigote stage	amastigote stage	L. major amastigote stage	An amastigote stage in the lifecycle of Leishmania major that occurs in mammalian hosts.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000158	class	Plasmodium falciparum schizont stage	schizont stage	P. falciparum schizont stage	A schizont stage in the Plasmodium falciparum lifecycle that occurs in erythrocytes or in hepatocytes.		C. Janse|Chris Stoeckert|Jie Zheng|Priti Parkh|S. Khan			"updated according to OPL terms Plasmodium final excel file from C. Janse, S. Khan"	
OPL:0000159	class	Schistosoma japonicum 3 day schistosomulum stage	3 day schistosomulum stage	S. japonicum 3 day schistosomulum stage	A 3 days schistosomulum stage of Schistosoma japonicum that occurs in the definitive host 3 days post-infection.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000160	class	Leishmania major procyclic promastigote	Leishmania major promastigote	L. major procyclic promastigote	A Leishmania major promastigote that is found in the alimentary tract of an insect vector. It is non-infective to its mammalian host.	PMID:11748963	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000161	class	Plasmodium falciparum zygote	Leishmania major promastigote	P. falciparum zygote	A Plasmodium falciparum zygote is formed after fertilisation of the macrogamete by a microgamete in the midgut of the mosquito vector. This round form is the only diploid stage in the Plasmodium falciparum life cycle.	Wikipedia: Plasmodium falciparum biology	C. Janse|Chris Stoeckert|Jie Zheng|P. Parkh|S. Khan				
OPL:0000162	class	Plasmodium falciparum exflagellated microgametocyte	Leishmania major promastigote	P. falciparum exflagellated microgametocyte	A Plasmodium falciparum microgametocyte that is matured with flagellated motile microgametes still attached to its central body. Exflagellated microgametocyte of Plasmodium falciparum is found in the midgut of a mosquito vector.		Chris Stoeckert|Jie Zheng|Matt Berriman|Priti Parikh				
OPL:0000163	class	Schistosoma haematobium daughter sporocyst stage	daughter sporocyst stage	S. haematobium daughter sporocyst stage	A daughter sporocyst stage in the lifecycle of Schistosoma haematobium that occurs within the snail intermediate host.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000164	class	Trypanosoma cruzi trypomastigote	Leishmania major promastigote	T. cruzi trypomastigote	A Trypanosoma cruzi that is found in the bloodstream of infected mammals. It is a non-dividing form that is infectious for its insect vector.	http://dna.kdna.ucla.edu/parasite_course-old/cruzi_files/intro.htm	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000165	class	Plasmodium falciparum lifecycle stage	parasite lifecycle stage	P. falciparum lifecycle stage	A lifecycle stage of Plasmodium falciparum.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000166	class	Schistosoma haematobium sporocyst	Leishmania major promastigote	S. haematobium sporocyst	"A Schistosoma haematobium that is an elongated sac and develops from the miracidium within the snail indermediate host, and that either produces more sporocysts or develops into cercariae."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000167	class	Plasmodium falciparum macrogamete	Leishmania major promastigote	P. falciparum macrogamete	"A Plasmodium falciparum gamete that is a matured form of the macrogametocyte and is found in the midgut of a mosquito vector. The macrogamete is fertilized by the microgamete, forming the zygote"		Chris Stoeckert|Jie Zheng				
OPL:0000168	class	Schistosoma mansoni cercaria	Leishmania major promastigote	S. mansoni cercaria	A Schistosoma mansoni in a parasitic larval form that develops in a freshwater snail and is released into the water.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000169	class	Trypanosoma cruzi trypomastigote stage	trypomastigote stage	T. cruzi trypomastigote stage	A trypomastigote stage in the Trypanosoma cruzi lifecycle that occurs either in the vertebrate host or an insect vector.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000170	class	Plasmodium falciparum microgamete stage	microgamete stage	P. falciparum microgamete stage	A microgamete stage in the Plasmodium falciparum lifecycle that occurs in the midgut of a mosquito vector.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000171	class	human parasite role	parasite role		A parasite role which is realized only during parasitic infection of a human.		Priti Parikh|Chris Stoeckert			previous def was not about a role.	
OPL:0000172	class	24 hour schistosomulum stage	schistomulum stage		A schistosomulum stage that occurs in 24 hours after infection of the mammalian host.	PMID:19885392	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000173	class	hypnozoite stage	parasite lifecycle stage		"A parasite lifecycle stage of some Plasmodium sp., such as Plasmodium vivax and Plasmodium ovale, the parasite in the liver cells do not achieve matuaration to a schizont immediately, but remain in a dormant form. This dormant form stage is called hypnozoite stage."	Wikipedia: Plasmodium	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000174	class	Plasmodium falciparum microgamete	Leishmania major promastigote	P. falciparum microgamete	"A Plasmodium falciparum gamete that is a matured form of exflagellated microgametocyte and found in the midgut of a mosquito vector. The microgamete fertilizes the macrogamete, forming the zygote."		Chris Stoeckert|Jie Zheng				
OPL:0000175	class	Trypanosoma brucei trypomastigote stage	trypomastigote stage	T. brucei trypomastigote stage	A trypomastigote stage in the Trypanosoma brucei lifecycle that occurs in the vertebrate host.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000176	class	Homo sapiens ureter	ureter	human ureter	A ureter that is a part of or originated from a human (Homo sapiens).		Priti Parikh				FMA:9704
OPL:0000177	class	Schistosoma haematobium lifecycle stage	parasite lifecycle stage	S. haematobium lifecycle stage	A lifecycle stage of Schistosoma haematobium.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000178	class	Schistosoma haematobium schistosomulum	Leishmania major promastigote	S. haematobium schistosomulum	"A Schistosoma haematobium in a migratory larval form that is found within blood vessels of the definitive host, mammal, and develops into the flatworm."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000179	class	Schistosoma japonicum miracidium	Leishmania major promastigote	S. japonicum miracidium	"A Schistosoma japonicum in a free-living motile form that is covered with cilia, and develops in the snail intermediate host."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000180	class	egg stage	life cycle stage		A life cycle stage of some parasites in which a non-operculate egg emerges from the adult female worm.	http://www.path.cam.ac.uk/~schisto/schistosoma/schisto_lifecycle_egg.html	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000181	class	parasite lifecycle stage	life cycle stage		A life cycle stage of a parasite.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000182	class	Trypanosoma brucei trypomastigote	Leishmania major promastigote	T. brucei trypomastigote	"A Trypanosoma brucei that is a Trypomastigote form of Trypanosoma brucei. In this form the large kinetoplast is postnuclear and is at the most posterior part of the body and the flagellum emerges from the flagellar pocket, and runs along the entire length of the body as an undulating membrane."	http://dna.kdna.ucla.edu/parasite_course-old/african%20tryps%20new_files/contents1.htm	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000183	class	3 week parasitic worm stage	parasitic worm stage		A parasitic worm stage of development 3 weeks post differentiation into a worm form.	PMID:19885392	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000184	class	Schistosoma japonicum mother sporocyst stage	mother sporocyst stage	S. japonicum mother sporocyst stage	A mother sporocyst stage in the Schistosoma japonicum lifecycle that occurs in the snail intermediate host.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000185	class	Trypanosoma cruzi lifecycle stage	parasite lifecycle stage	T. cruzi lifecycle stage	A lifecycle stage of Trypanosoma cruzi.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000186	class	Schistosoma japonicum sporocyst stage	sporocyst stage	S. japonicum sporocyst stage	A sporocyst stage in the Schistosoma japonicum lifecycle that is found within the snail intermediate host.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000187	class	Plasmodium falciparum ookinete stage	ookinete stage	P. falciparum ookinete stage	An ookinete stage in the Plasmodium falciparum lifecycle that occurs in the midgut of a mosquito vector and on the outside of the midgut.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000189	class	Leishmania major promastigote stage	promastigote stage	L. major promastigote stage	A promastigote stage in the Leishmania major lifecycle.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000190	class	Plasmodium falciparum hepatic schizont	Leishmania major promastigote	P. falciparum hepatic schizont	"A Plasmodium falciparum schizont that is found in infected hepatocytes (i.e., liver cells) of a human host."		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000191	class	Schistosoma mansoni daughter sporocyst	Leishmania major promastigote	S. mansoni daughter sporocyst	A Schistosoma mansoni sporocyst that develops into cercariae.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000192	class	Plasmodium falciparum gametocyte stage	gametocyte stage	P. falciparum gametocyte stage	A gametocyte stage in the lifecycle of Plasmodium falciparum.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000193	class	Schistosoma japonicum 3 hour schistosomulum stage	3 hour schistosomulum stage	S. japonicum 3 hour schistosomulum stage	A 3 hours schistosomulum stage of Schistosoma japonicum that occurs in the definitive host 3 hours post-infection.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000194	class	Phlebotominae midgut	midgut		A midgut that is a part of or originated from a sand fly of genus Phlebotominae.		Priti Parikh				
OPL:0000195	class	Schistosoma japonicum 24 hour schistosomulum stage	24 hour schistosomulum stage	S. japonicum 24 hour schistosomulum stage	A 24 hours schistosomulum stage of Schistosoma japonicum that occurs in the definitive host 24 hours post-infection.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000196	class	Schistosoma mansoni mother sporocyst	Leishmania major promastigote	S. mansoni mother sporocyst	A Schistosoma mansoni sporocyst that produces more sporocysts.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000197	class	Schistosoma haematobium schistosomulum stage	schistomulum stage	S. haematobium schistosomulum stage	A schistosomulum stage of Schistosoma haematobium that occurs in the definitive host and is followed by the parasitic worm stage.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000198	class	Schistosoma haematobium adult male worm	Leishmania major promastigote	S. haematobium adult male worm	"A Schistosoma haematobium adult worm is a fully developed mature male form of Schistosoma haematobium and capable of sexual reproduction, which lives in the pelvic blood vessels of the vesicle plexis of the mammal host and has 4-5 testes."	http://www.path.cam.ac.uk/~schisto/schistosoma/schisto_lifecycle_egg.html	Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000199	class	Plasmodium falciparum zygote stage	zygote stage	P. falciparum zygote stage	A zygote stage in the Plasmodium falciparum lifecycle that occurs in the midgut of the mosquito vector where a microgamete and a macrogamete fertilizes each other to produce a diploid cell.	Wikipedia: Plasmodium falciparum biology	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000200	class	Schistosoma haematobium egg	Leishmania major promastigote	S. haematobium egg	A Schistosoma haematobium in an egg form that is laid by the female adult worm and released into the host gut where they leave the host in the faeces.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000201	class	Schistosoma haematobium 6 day schistosomulum	Leishmania major promastigote	S. haematobium 6 day schistosomulum	"A Schistosoma haematobium schistosomulum in a migratory larval form that is found within blood vessels of mammal, as definitive host, 6 days post-infection."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000202	class	Schistosoma haematobium 3 week worm stage	3 week parasitic worm stage	S. haematobium 3 week worm stage	A worm stage of Schistosoma haematobium that is found in the pelvic blood vessels of the vesicle plexis of the definitive host 3 weeks after infection.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000203	class	Schistosoma mansoni lifecycle stage	parasite lifecycle stage	S. mansoni lifecycle stage	A lifecycle stage of Schistosoma mansoni.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000204	class	Leishmania major amastigote	Leishmania major promastigote	L. major amastigote	"A Leishmania major that is the intracellular, non-motile form of the parasite found in the mammalian host."	http://dna.kdna.ucla.edu/parasite_course-old/leish_files/introduction1.htm	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000205	class	Schistosoma haematobium 3 day schistosomulum	Leishmania major promastigote	S. haematobium 3 day schistosomulum	"A Schistosoma haematobium schistosomulum in a migratory larval form that is found within blood vessels of mammal, as definitive host, 3 days post-infection."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000206	class	Plasmodium falciparum macrogametocyte	Leishmania major promastigote	P. falciparum macrogametocyte	A Plasmodium falciparum gametocyte that is a female gametocyte and found either in bloodstream of a human host or midgut of mosquito vector. The macrogametocyte is a precursor of the macrogamete.		C. Janse|Chris Stoeckert|Jie Zheng|Priti Parkh|S. Khan				
OPL:0000207	class	Plasmodium falciparum erythrocytic trophozoite stage	erythrocytic trophozoite stage	P. falciparum erythrocytic trophozoite stage	An erythrocytic trophozoite stage in the Plasmodium falciparum life cycle that occurs in erythrocytes of a human host.		C. Janse|Chris Stoeckert|Jie Zheng|Priti Parkh|S. Khan				
OPL:0000208	class	Schistosoma mansoni miracidium	Leishmania major promastigote	S. mansoni miracidium	A Schistosoma mansoni in a free-living motile form that is covered with cilia and develops in the snail intermediate host.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000209	class	Leishmania major lifecycle stage	parasite lifecycle stage	L. major lifecycle stage	A parasite lifecycle stage of Leishmania major.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000210	class	Schistosoma mansoni cercaria stage	cercaria stage	S. mansoni cercaria stage	A cercaria stage in the lifecycle of Schistosoma mansoni that occurs in a freshwater snail and in fresh water.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000211	class	Schistosoma mansoni worm stage	parasitic worm stage	S. mansoni worm stage	A worm stage of Schistosoma mansoni that is fully developed mature form and found in the small inferior mesenteric blood vessels surrounding the large intestine of the mammalian host.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000212	class	Schistosoma haematobium mother sporocyst stage	mother sporocyst stage	S. haematobium mother sporocyst stage	A mother sporocyst stage in the Schistosoma haematobium lifecycle that occurs in the snail intermediate host.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000213	class	vesical venus plexus	material anatomical entity		The vesical plexus envelops the lower part of the bladder and the base of the prostate and communicates with the pudendal and prostatic plexuses.	Wikipedia - Vesical venus plexus	Priti Parikh				
OPL:0000214	class	mother sporocyst stage	sporocyst stage		A sporocyst stage of Digenea formed after penetration of the miracidium into a mollusc; it lacks a gut and gives rise asexually to daughter sporocysts or rediae.	http://www.biology.ualberta.ca/parasites/parpub/text/text/glossarM.htm	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000215	class	Glossina midgut	midgut		A midgut that is a part of or originated from a tsetse fly of genus Glossina.		Priti Parikh				
OPL:0000216	class	Trypanosoma brucei epimastigote stage	epimastigote stage	T. brucei epimastigote stage	An epimastigote stage in the lifecycle of Trypanosoma brucei.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000217	class	Schistosoma mansoni 7 week worm stage	7 week parasitic worm stage	S. mansoni 7 week worm stage	A 7 week worm stage of Schistosoma mansoni that is the mature stage of Schistosoma mansoni and found in the small inferior mesenteric blood vessels surrounding the large intestine of the definitive host 7 weeks after weeks after infection.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000218	class	Schistosoma mansoni 6 day schistosomulum	Leishmania major promastigote	S. mansoni 6day schistosomulum	"A Schistosoma mansoni schistosomulum in a migratory larval formi that is found within blood vessels of the definitive host, mammal, 6 days post-infection."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000219	class	Homo sapiens urinary bladder	urinary bladder	human bladder|human urinary bladder	A urinary bladder that is a part of or originated from a human (Homo sapiens).		Priti Parikh				FMA:15900
OPL:0000220	class	Schistosoma mansoni daughter sporocyst stage	daughter sporocyst stage	S. mansoni daughter sporocyst stage	A daughter sporocyst stage of Schistosoma mansoni that occurs in the snail intermediate host.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
